Energy [GeV],Probability
0.8151816999999999,0.34700059626268953
2.1342251,0.2224048024869299
3.4532685,0.13099511773025482
4.7723119,0.0825681295484006
6.0913553,0.0553024789178549
7.4103987,0.03835377521992985
8.7294421,0.027478517254088026
10.048485499999998,0.020193654651734515
11.3675289,0.01511740977415391
12.686572299999998,0.011629736893817168
14.0056157,0.00905577122404212
15.324659099999998,0.007194115975201545
16.6437025,0.00577421800612118
17.9627459,0.0045439096446965935
19.2817893,0.0037185876248925754
20.6008327,0.002988060408916447
21.9198761,0.0024784961698345056
23.2389195,0.002042979829116342
24.5579629,0.001661270503382336
25.8770063,0.0014252955379815962
27.1960497,0.001204669909143735
28.5150931,0.0009639720709544167
29.8341365,0.000817394340480333
31.1531799,0.0007011779350756798
32.472223299999996,0.0005883350102342966
33.791266699999994,0.0005136124157578651
35.11031009999999,0.0004299500977887678
36.4293535,0.00037799849711440904
37.748396899999996,0.00033363722770740785
39.0674403,0.00026852905283629593
40.3864837,0.00023108341858399836
41.7055271,0.00019380645835986437
43.024570499999996,0.00016428850343125142
44.343613899999994,0.0001504572331218442
45.66265729999999,0.00012515612889731884
46.9817007,0.00010660198579933358
48.300744099999996,9.732491425034094e-05
49.6197875,8.298762185644323e-05
50.9388309,8.045751143399068e-05
52.2578743,7.067441780050754e-05
53.576917699999996,6.544552292743896e-05
54.895961099999994,5.8361213744571866e-05
56.21500449999999,4.874679413925221e-05
57.5340479,4.0987788843731106e-05
58.853091299999996,3.7108286195970546e-05
60.1721347,3.40721536890275e-05
61.4911781,2.7999888675141414e-05
62.8102215,2.7999888675141414e-05
64.1292649,2.445773408370786e-05
65.4483083,2.243364574574583e-05
66.76735169999999,1.7879446985331265e-05
68.08639509999999,1.5686684619205733e-05
69.4054385,1.3999944337570705e-05
70.7244819,1.3325248224916698e-05
72.0435253,1.2987900168589692e-05
73.3625687,1.2987900168589692e-05
74.6816121,1.1975855999608677e-05
76.0006555,8.939723492665633e-06
77.31969889999999,7.590331267357613e-06
78.63874229999999,8.939723492665633e-06
79.9577857,5.228894873068577e-06
81.2768291,4.048176675924059e-06
82.5958725,6.409613070213095e-06
83.9149159,4.554198760414567e-06
85.2339593,4.216850704087562e-06
86.5530027,3.542154591433552e-06
87.87204609999999,3.879502647760557e-06
89.19108949999999,2.69878445061604e-06
90.5101329,2.1927623661255325e-06
91.8291763,1.6867402816350248e-06
93.1482197,3.0361325069430446e-06
94.4672631,1.6867402816350248e-06
95.7863065,1.1807181971445174e-06
97.1053499,2.1927623661255325e-06
98.42439329999999,1.5180662534715223e-06
99.74343669999999,1.5180662534715225e-06
101.0624801,1.1807181971445174e-06
102.3815235,1.1807181971445174e-06
103.7005669,3.37348056327005e-07
105.0196103,6.7469611265401e-07
106.3386537,5.060220844905074e-07
107.6576971,1.686740281635025e-07
108.97674049999999,1.1807181971445174e-06
110.29578389999999,5.060220844905074e-07
111.6148273,5.060220844905074e-07
112.9338707,8.433701408175124e-07
114.2529141,1.0120441689810149e-06
115.5719575,3.37348056327005e-07
116.8910009,1.686740281635025e-07
118.21004429999999,0.0
119.52908769999999,0.0
120.84813109999999,0.0
122.1671745,0.0
123.4862179,0.0
124.8052613,0.0
126.1243047,1.686740281635025e-07
127.44334810000001,0.0
128.7623915,5.060220844905074e-07
130.0814349,0.0
131.4004783,1.686740281635025e-07
