Energy [GeV],Normalized Frequency
1.5455633999999998,4.946580863396469e-06
4.325370199999999,1.7244250636582974e-06
7.105176999999998,7.32445464905487e-07
9.884983799999997,3.668009502606383e-07
12.664790599999996,2.0373858640174328e-07
15.444597399999996,1.1996619271263485e-07
18.224404199999995,7.478118914355245e-08
21.004210999999998,4.8675725890818105e-08
23.784017799999994,3.259929401832271e-08
26.563824599999997,2.2127127053115905e-08
29.343631399999992,1.512261959109619e-08
32.123438199999995,1.0669848267051213e-08
34.90324499999999,7.452585079533666e-09
37.68305179999999,5.353868591619027e-09
40.46285859999999,3.877848204514213e-09
43.242665399999986,2.9157992022048168e-09
46.02247219999999,2.294750445577011e-09
48.802278999999984,1.6835857540414296e-09
51.58208579999999,1.2585709550759806e-09
54.36189259999998,9.455755604890197e-10
57.141699399999986,7.083579982757464e-10
59.92150619999998,6.276381333559537e-10
62.701312999999985,4.876138778828407e-10
65.48111979999999,3.3441086895343375e-10
68.26092659999998,3.064060178588112e-10
71.0407334,2.1250739948272392e-10
73.82054019999998,2.059180227545785e-10
76.60034699999997,1.597923856575521e-10
79.38015379999999,1.004879951042338e-10
82.15996059999998,8.236720910183141e-11
84.93976739999997,6.918845564553802e-11
87.71957419999998,6.589376728146479e-11
90.49938099999997,2.9652195276659154e-11
93.27918779999999,4.283094873295211e-11
96.05899459999998,1.812078600240291e-11
98.83880139999997,1.8120786002402814e-11
101.61860819999998,1.6473441820366196e-12
104.39841499999997,9.884065092219768e-12
107.17822179999996,1.3178753456292957e-11
109.95802859999998,1.3178753456292957e-11
112.73783539999997,3.294688364073239e-12
115.51764219999998,3.294688364073239e-12
118.29744899999997,1.647344182036628e-12
121.07725579999996,0.0
123.85706259999998,6.589376728146478e-12
126.63686939999997,3.294688364073239e-12
129.41667619999998,3.2946883640732226e-12
132.196483,1.647344182036628e-12
134.97628979999996,1.647344182036628e-12
137.75609659999998,3.2946883640732226e-12
