Theta [degrees],Normalized Frequency
0.9034407319984131,2.6125868504826163e-08
2.6937335781359346,8.031133927105266e-08
4.484026424273456,1.336117943232915e-07
6.274319270410978,1.851371022497863e-07
8.0646121165485,2.3597434882638915e-07
9.854904962686021,2.8400563517685165e-07
11.645197808823543,3.2770904121498165e-07
13.435490654961065,3.681997890543588e-07
15.225783501098586,4.0521697810877906e-07
17.01607634723611,4.403848424198081e-07
18.806369193373627,4.6893299381812065e-07
20.596662039511152,4.931123393219508e-07
22.38695488564867,5.13311671961721e-07
24.177247731786196,5.255739995133303e-07
25.967540577923714,5.367824933245842e-07
27.75783342406124,5.418444762667274e-07
29.548126270198757,5.427806489584022e-07
31.338419116336276,5.383018555618947e-07
33.1287119624738,5.310298911836635e-07
34.91900480861132,5.165908342314682e-07
36.70929765474884,5.015148729070639e-07
38.49959050088636,4.817017754488336e-07
40.28988334702389,4.609243689611969e-07
42.08017619316141,4.344890007413652e-07
43.870469039298925,4.103326758774926e-07
45.66076188543645,3.792522540836678e-07
47.451054731573976,3.499086116823186e-07
49.241347577711494,3.2047032887225095e-07
51.03164042384901,2.9122900042627634e-07
52.82193326998654,2.6171398214967773e-07
54.61222611612406,2.3208386067328102e-07
56.40251896226158,2.0494764185913454e-07
58.1928118083991,1.7696221721538053e-07
59.98310465453662,1.511611955188671e-07
61.77339750067414,1.2952690965497302e-07
63.56369034681166,1.0687459993510413e-07
65.35398319294919,8.706150247687122e-08
67.14427603908672,7.045594751962385e-08
68.93456888522422,5.5073044329098605e-08
70.72486173136176,4.204847780995086e-08
72.51515457749927,3.098066568733626e-08
74.30544742363679,2.169567423711924e-08
76.09574026977432,1.459764358302753e-08
77.88603311591183,9.221045228108332e-09
79.67632596204936,5.427755332606303e-09
81.4666188081869,2.890369239323832e-09
83.2569116543244,1.4886680506959914e-09
85.04720450046193,6.138837322457696e-10
86.83749734659943,1.8416511967373088e-10
88.62779019273697,4.0925582149717646e-11
